orderDetailsID,orderID,quantity,productID
1,67,8,108
2,48,1,105
3,40,4,103
4,98,2,102
5,100,9,106
6,26,10,110
7,30,7,103
8,59,2,108
9,36,4,101
10,15,6,110
11,21,9,101
12,33,9,109
13,88,8,108
14,73,4,101
15,2,3,108
16,10,10,108
17,76,10,109
18,9,5,102
19,19,5,110
20,50,1,110
21,51,1,104
22,54,10,110
23,43,7,108
24,92,7,109
25,43,7,101
26,27,6,107
27,47,3,110
28,57,3,106
29,27,7,106
30,80,8,105
31,7,2,108
32,89,7,106
33,33,5,103
34,21,3,109
35,17,10,110
36,26,1,108
37,34,4,103
38,87,9,103
39,83,6,106
40,66,10,109
41,8,1,104
42,80,1,110
43,87,1,102
44,57,7,109
45,97,5,109
46,86,5,105
47,17,6,104
48,16,2,101
49,72,3,107
50,65,10,110
51,50,1,102
52,98,10,110
53,57,5,108
54,20,6,104
55,85,8,109
56,18,9,103
57,55,10,110
58,37,6,106
59,100,9,104
60,14,2,108
61,67,7,106
62,60,8,108
63,24,4,103
64,99,5,105
65,40,8,102
66,79,5,103
67,86,4,104
68,22,3,110
69,46,5,101
70,58,3,106
71,46,7,107
72,46,4,104
73,2,1,110
74,36,1,104
75,57,10,105
76,39,6,105
77,96,3,101
78,72,4,102
79,62,3,106
80,76,8,105
81,62,7,102
82,37,3,110
83,18,3,101
84,60,3,110
85,37,1,101
86,40,7,103
87,64,6,108
88,97,6,102
89,57,9,103
90,82,9,103
91,52,10,107
92,77,10,107
93,21,9,101
94,99,5,105
95,70,10,103
96,23,9,106
97,27,4,101
98,35,9,103
99,67,9,103
100,8,8,108
101,62,10,106
102,59,5,101
103,37,10,108
104,7,8,106
105,41,10,107
106,3,4,108
107,14,7,101
108,66,1,104
109,73,6,106
110,34,2,104
111,85,9,104
112,33,8,102
113,39,1,104
114,46,1,109
115,41,8,101
116,22,2,106
117,37,5,107
118,57,5,102
119,87,10,101
120,92,3,105
121,10,2,103
122,20,4,106
123,6,7,110
124,67,6,110
125,79,5,108
126,79,5,110
127,56,2,107
128,4,2,102
129,36,8,103
130,42,2,103
131,25,8,102
132,12,8,102
133,74,5,103
134,31,7,106
135,31,10,102
136,40,3,102
137,62,1,104
138,57,6,102
139,48,7,108
140,85,4,109
141,37,5,102
142,61,4,103
143,45,1,104
144,27,1,103
145,59,3,104
146,19,6,109
147,76,4,102
148,43,9,101
149,99,8,103
150,44,10,110
151,45,5,106
152,8,7,110
153,56,8,107
154,57,7,109
155,93,4,109
156,83,2,104
157,90,6,103
158,86,7,107
159,93,9,103
160,58,4,109
161,29,9,106
162,76,9,110
163,55,9,101
164,97,2,105
165,70,8,103
166,82,5,102
167,40,3,107
168,92,9,107
169,58,5,101
170,95,1,106
171,59,7,109
172,4,1,110
173,85,8,102
174,25,9,101
175,71,4,102
176,61,8,110
177,2,3,108
178,48,6,107
179,55,1,106
180,13,10,103
181,17,7,107
182,54,2,106
183,37,5,101
184,67,8,102
185,82,5,104
186,78,2,102
187,77,1,106
188,28,7,107
189,40,2,106
190,64,1,103
191,42,8,103
192,12,9,110
193,87,4,104
194,12,6,109
195,54,7,109
196,56,5,102
197,32,7,105
198,90,8,110
199,21,7,105
200,61,5,104
201,86,2,102
202,96,4,102
203,72,9,109
204,64,2,103
205,22,9,101
206,71,4,106
207,5,9,106
208,26,8,106
209,28,5,104
210,43,7,108
211,99,10,104
212,80,4,105
213,14,9,104
214,7,8,103
215,16,7,109
216,88,9,104
217,13,8,106
218,8,7,102
219,9,10,101
220,79,9,105
221,84,7,104
222,34,5,108
223,12,6,108
224,86,1,102
225,53,3,108
226,81,5,106
227,94,2,108
228,54,6,106
229,85,2,109
230,9,1,101
231,19,9,104
232,2,7,102
233,48,3,102
234,81,3,101
235,97,4,101
236,43,9,103
237,42,7,102
238,17,1,109
239,63,4,104
240,52,8,105
241,95,8,105
242,91,4,104
243,41,6,102
244,20,8,104
245,86,9,108
246,96,7,103
247,63,6,106
248,92,8,110
249,66,5,105
250,38,6,105
251,98,5,104
252,38,6,109
253,79,10,104
254,45,9,105
255,78,4,107
256,99,2,101
257,90,2,110
258,59,1,104
259,38,10,109
260,41,7,106
261,48,8,108
262,49,1,106
263,21,4,104
264,53,9,105
265,6,3,105
266,79,8,102
267,17,9,104
268,47,7,105
269,14,7,102
270,54,6,105
271,6,9,106
272,77,6,105
273,15,8,105
274,76,5,106
275,4,5,104
276,17,1,107
277,20,3,108
278,98,5,108
279,26,4,104
280,93,10,105
281,73,8,102
282,90,10,110
283,28,6,101
284,28,9,109
285,8,7,109
286,62,4,107
287,54,8,109
288,77,9,105
289,21,1,101
290,56,3,108
291,26,5,110
292,29,6,108
293,23,1,104
294,9,6,104
295,70,5,103
296,80,9,108
297,57,10,109
298,2,4,101
299,60,6,106
300,69,8,104
